,eps,n,alpha,beta,gamma,phi**2,psi**2
31923,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
20112,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
713,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
13882,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
21489,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
23067,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
16779,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
9356,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
40180,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
43832,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
47189,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
14464,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
14398,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
16252,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
23343,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
34140,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
45325,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
2979,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
29882,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
40051,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
11546,20.524,1.385,0.37,0.48,33.57,0.0,0.0
31325,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
425,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
1490,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
26480,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
49188,8.331,1.3599,0.0,0.38,33.36,0.0,0.0
11006,20.524,1.385,0.37,0.48,33.57,0.0,0.0
21299,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
24352,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
20588,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
3096,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
38057,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
14330,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
49526,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
24431,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
31162,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
42939,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
29832,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
25388,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
31140,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
27073,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
47679,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
50038,11.321,1.4249,0.37,0.48,38.5,0.0,0.0
42850,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
4548,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
45831,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
985,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
42199,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
6102,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
21541,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
11148,20.524,1.385,0.37,0.48,33.57,0.0,0.0
37767,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
39223,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
35651,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
33553,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
20120,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
6380,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
