,SP,SdP,SA,SB
26132,0.645,0.974,0.044,0.286
5126,0.633,0.783,0.4,0.658
30115,0.633,0.808,0.283,0.83
47537,0.645,0.637,0.0,0.527
34036,0.657,0.684,0.311,0.828
12550,0.658,0.748,0.367,0.782
48095,0.632,0.732,0.145,0.928
8522,0.633,0.783,0.4,0.658
24252,0.645,0.974,0.044,0.286
4406,0.608,0.904,0.605,0.545
6665,0.633,0.783,0.4,0.658
13473,0.674,0.655,0.341,0.809
11556,0.658,0.748,0.367,0.782
31101,0.713,0.454,0.299,0.923
33891,0.657,0.684,0.311,0.828
34053,0.657,0.684,0.311,0.828
11101,0.658,0.748,0.367,0.782
14560,0.674,0.655,0.341,0.809
23863,0.761,0.769,0.04,0.178
21100,0.656,0.603,0.0,0.542
31374,0.713,0.454,0.299,0.923
49198,0.648,0.707,0.0,0.477
49780,0.783,0.614,0.047,0.071
27337,0.633,0.808,0.283,0.83
41950,0.681,0.997,1.062,0.025
667,0.608,0.904,0.605,0.545
39163,0.681,0.997,1.062,0.025
4826,0.633,0.783,0.4,0.658
42726,0.759,0.977,0.031,0.613
35022,0.687,0.587,0.319,0.86
16853,0.651,0.907,0.0,0.475
20780,0.656,0.603,0.0,0.542
12626,0.658,0.748,0.367,0.782
5026,0.633,0.783,0.4,0.658
26897,0.645,0.974,0.044,0.286
38713,0.737,0.312,0.0,0.444
45196,0.683,0.0,0.0,0.073
45040,0.777,0.91,0.717,0.534
38867,0.737,0.312,0.0,0.444
8967,0.633,0.783,0.4,0.658
35587,0.714,0.634,0.0,0.591
5672,0.633,0.783,0.4,0.658
46773,0.793,0.27,0.0,0.124
9987,0.658,0.748,0.367,0.782
35478,0.687,0.587,0.319,0.86
20857,0.656,0.603,0.0,0.542
19915,0.651,0.907,0.0,0.475
37856,0.737,0.312,0.0,0.444
14640,0.674,0.655,0.341,0.809
39541,0.681,0.997,1.062,0.025
13496,0.674,0.655,0.341,0.809
5119,0.633,0.783,0.4,0.658
7579,0.633,0.783,0.4,0.658
3442,0.608,0.904,0.605,0.545
20285,0.656,0.603,0.0,0.542
33907,0.657,0.684,0.311,0.828
41541,0.681,0.997,1.062,0.025
14377,0.674,0.655,0.341,0.809
5169,0.633,0.783,0.4,0.658
47824,0.674,0.535,0.0,0.525
33459,0.782,0.284,0.0,0.128
